condition,rouge1,rouge1_lo,rouge1_hi,rouge2,rouge2_lo,rouge2_hi,rougeL,rougeL_lo,rougeL_hi,dRL_vs_bart,dRL_lo,dRL_hi,significant
finetuned_bart,0.4205,0.3486,0.4783,0.1330,0.0957,0.1675,0.2476,0.2078,0.2831,nan,nan,nan,
finetuned_led,0.4179,0.4041,0.4322,0.1159,0.1054,0.1257,0.2185,0.2103,0.2256,0.0290,-0.0143,0.0703,False
led_long_few,0.2712,0.2401,0.3037,0.0531,0.0393,0.0708,0.1599,0.1459,0.1765,0.0877,0.0413,0.1297,True
led_long_zero,0.2712,0.2401,0.3037,0.0531,0.0393,0.0708,0.1599,0.1459,0.1765,0.0877,0.0413,0.1297,True
led_long_cot,0.2773,0.2443,0.3110,0.0559,0.0418,0.0703,0.1548,0.1427,0.1674,0.0927,0.0442,0.1361,True
bart_chunk_zero,0.2249,0.2043,0.2419,0.0516,0.0370,0.0699,0.1467,0.1382,0.1549,0.1009,0.0664,0.1302,True
bart_chunk_cot,0.1989,0.1598,0.2415,0.0408,0.0256,0.0560,0.1230,0.1041,0.1416,0.1245,0.0802,0.1620,True
bart_chunk_few,0.1765,0.1607,0.1914,0.0188,0.0097,0.0286,0.1030,0.0937,0.1133,0.1446,0.1057,0.1823,True
flan_chunk_zero,0.1164,0.0906,0.1440,0.0212,0.0100,0.0338,0.0700,0.0544,0.0846,0.1775,0.1424,0.2087,True
flan_chunk_few,0.0770,0.0644,0.0909,0.0086,0.0020,0.0162,0.0551,0.0447,0.0661,0.1925,0.1511,0.2322,True
flan_chunk_cot,0.0733,0.0511,0.0952,0.0148,0.0037,0.0287,0.0481,0.0326,0.0626,0.1994,0.1632,0.2354,True
