match_id,n_goals,n_goals_mapped,kickoff_bin,mean_goal_pctile,oracle_pctile
1983_facup_final_brighton_manchesterunited,4,4,1,0.6434,0.6626
2004_euro_portugal_england,4,4,2,0.4769,0.6500
2005_uclfinal_acmilan_liverpool,4,4,2,0.5677,0.6410
2008_uclfinal_manchesterunited_chelsea,1,1,3,0.1658,1.0000
2010_wc_germany_england,3,3,5,0.5748,0.9184
2010_wcqual_belarus_england,3,3,2,0.5850,0.6699
2010_wcqual_england_andorra,6,6,2,0.3989,0.6282
2011_pl_chelsea_manchestercity,3,3,3,0.7599,0.7599
2012_pl_manchesterunited_arsenal,2,2,2,0.1387,0.7017
2012_uclfinal_bayernmunich_chelsea,3,3,2,0.3401,0.6701
2014_wc_brazil_germany,4,4,23,0.6091,0.6174
2014_wc_england_italy,3,3,2,0.2646,0.7910
2014_wc_uruguay_england,3,3,2,0.2708,0.6250
2016_euro_england_iceland,3,3,2,0.7148,0.9588
2017_uclfinal_juventus_realmadrid,5,4,2,0.5214,0.6548
2018_uclfinal_realmadrid_liverpool,4,3,19,0.7124,0.6078
2018_wc_belgium_england,1,1,2,0.2871,0.8812
2018_wc_colombia_england,2,2,2,0.4467,0.9600
2018_wc_england_panama,6,6,2,0.4016,0.7190
2018_wc_england_sweden,2,2,2,0.4712,0.8942
2018_wc_tunisia_england,2,2,12,0.3284,0.8480
2019_ucl_ajax_tottenham,5,5,4,0.5698,0.8159
2019_ucl_liverpool_barcelona,4,4,2,0.4563,0.7750
2019_uclfinal_liverpool_tottenham,2,2,2,0.4044,0.7978
2019_uelfinal_chelsea_arsenal,5,5,5,0.7008,0.9191
2020_euro_england_germany,2,2,33,0.5892,0.7695
2021_euro_croatia_england,1,1,4,0.4796,0.9082
2021_euro_czechrepublic_england,1,1,2,0.9794,1.0000
2021_euro_england_italy,2,2,2,0.7682,0.8642
2021_euro_england_ukraine,4,4,2,0.8177,0.8177
2021_pl_liverpool_manchestercity,5,5,2,0.7766,0.7766
2021_pl_manchesterunited_liverpool,5,5,2,0.5522,0.6571
2021_pl_westbrom_liverpool,3,3,3,0.6417,0.8889
2022_nl_england_germany,2,2,4,0.3632,0.8932
2022_nl_italy_england,1,1,3,0.9487,0.9829
2022_uclfinal_realmadrid_liverpool,1,1,2,0.3715,0.4229
2022_wc_argentina_australia,3,3,2,0.3994,0.8292
2022_wc_argentina_croatia,3,3,2,0.6780,0.9116
2022_wc_belgium_canada,2,2,2,0.3613,0.8613
2022_wc_brazil_serbia,2,2,2,0.9655,0.9741
2022_wc_brazil_southkorea,5,5,2,0.4783,0.6800
2022_wc_croatia_canada,5,5,2,0.4610,0.7847
2022_wc_ecuador_senegal,3,3,2,0.4361,0.8056
2022_wc_england_france,3,3,2,0.7486,0.9572
2022_wc_england_iran,6,6,2,0.4689,0.7226
2022_wc_england_senegal,3,3,2,0.6197,0.7919
2022_wc_france_denmark,3,3,2,0.2062,0.8503
2022_wc_france_morocco,2,2,9,0.6457,0.8974
2022_wc_germany_japan,3,3,0,0.6253,0.8540
2022_wc_japan_spain,2,2,20,0.8182,0.9380
2022_wc_netherlands_argentina,4,4,2,0.6114,0.8682
2022_wc_poland_argentina,2,2,2,0.4339,0.8678
2022_wc_spain_costarica,6,6,2,0.3431,0.6208
2022_wc_spain_germany,1,1,3,0.6348,0.8696
2022_wc_wales_england,3,3,2,0.3145,0.9355
2022_wcfinal_argentina_france,5,5,2,0.3356,0.6876
2023_pl_brentford_manchesterunited,2,2,2,0.4440,0.9914
2023_pl_liverpool_bournemouth,4,4,2,0.6681,0.6903
2023_ucl_celtic_realmadrid,6,6,2,0.5863,0.6756
2023_ucl_liverpool_ajax,3,3,2,0.8070,0.8743
2023_ucl_liverpool_realmadrid,6,6,2,0.7586,0.8305
2023_ucl_manchestercity_bayernmunich,3,3,2,0.9011,0.9011
2023_ucl_rangers_liverpool,2,2,2,0.6696,0.6870
2024_euro_denmark_england,2,2,2,0.9556,0.9556
2024_euro_england_slovakia,3,3,18,0.7510,0.8032
